date,figure,fyear,measure,period,type,value
2018-12-31,common-outstanding-basic,2018.0,period,FY,common,243800000
2017-12-31,common-outstanding-basic,2017.0,period,FY,common,242600000
2016-12-31,common-outstanding-basic,2016.0,period,FY,common,242600000
2015-12-31,common-outstanding-basic,2015.0,period,FY,common,242600000
2014-12-31,common-outstanding-basic,2014.0,period,FY,common,242600000
2013-12-31,common-outstanding-basic,2013.0,period,FY,common,242600000
2012-12-31,common-outstanding-basic,2012.0,period,FY,common,242600000
2011-12-31,common-outstanding-basic,2011.0,period,FY,common,241500000
2010-12-31,common-outstanding-basic,2010.0,period,FY,common,238800000
2009-12-31,common-outstanding-basic,2009.0,period,FY,common,220400000
2008-12-31,common-outstanding-basic,2008.0,period,FY,common,210100000
2007-12-31,common-outstanding-basic,2007.0,period,FY,common,207400000
